Player_Name,Coefficient,Possessions
Ronald Holland II,-0.00616037655879221,4699
Gary Harris,-0.007967228703411348,11055
Dereck Lively II,-0.009297853538188745,8346
Shai Gilgeous-Alexander,-0.009592667913466612,29135
Steven Adams,-0.010524071847037948,7378
Jalen Brunson,-0.011926867240316752,26600
Tari Eason,-0.013387451837489536,13551
Kevin Love,-0.021034692465753298,8807
Paolo Banchero,-0.02195424106851914,24345
Bilal Coulibaly,-0.022988270701653987,15356
Royce O'Neale,-0.02444305700410686,22691
Ricky Council IV,-0.02799225239546122,5140
Kevin Durant,-0.030349898237358473,24957
Kyrie Irving,-0.033631107392064166,22270
Cody Williams,-0.03474729752720535,4282
Cameron Payne,-0.035603579931253584,11628
Jakob Poeltl,-0.0371707087709599,18753
Jalen Duren,-0.04076616852347598,20028
Kai Jones,-0.04174714274113976,3034
Cole Anthony,-0.04176756887130256,16434
Dario Šarić,-0.044837374777663155,8098
Justin Holiday,-0.045027604439204096,5515
Svi Mykhailiuk,-0.04631020303538823,4261
DeMar DeRozan,-0.05016033271211154,30217
Tre Jones,-0.052419587338507476,18457
Derrick Rose,-0.05324913802670106,3040
Isaac Okoro,-0.05601833218371456,16513
Zach Edey,-0.05953247437370821,4873
Hamidou Diallo,-0.0693046182913035,4166
Miles McBride,-0.07167510446396924,12558
Josh Green,-0.07262582263615489,18475
Monté Morris,-0.0754562316807362,10232
Ish Wainright,-0.07636433417485952,3579
John Konchar,-0.07699121828564492,12360
Kendrick Nunn,-0.0802453029457427,3440
Josh Okogie,-0.08105477344861833,10175
Luguentz Dort,-0.08206662621266506,24401
Brandin Podziemski,-0.0838079688776889,12679
George Hill,-0.08537158869619443,3153
Keegan Murray,-0.0872248088426499,27363
Jalen McDaniels,-0.09376346111622617,8774
Isaiah Joe,-0.0953212961814344,15850
Santi Aldama,-0.10523357649154408,18669
P.J. Tucker,-0.10923001316469091,8301
Cam Reddish,-0.11723474895503568,9914
Ja Morant,-0.11961445168104448,14051
Ryan Dunn,-0.11977586924186624,4649
Lonzo Ball,-0.12378522326804042,3169
Jarred Vanderbilt,-0.12548928080933297,11135
Tosan Evbuomwan,-0.12793886614838684,3092
Johnny Davis,-0.13106680294989834,3651
Julian Champagnie,-0.13401080817878563,12180
Anthony Black,-0.1346431748319065,11082
Andre Jackson Jr.,-0.14168086007888264,5888
Blake Wesley,-0.14293969343035004,6904
Jaylen Wells,-0.14457369818468815,7863
Donovan Clingan,-0.14472811131338065,4336
Clint Capela,-0.15874311553575787,18111
Jeff Dowtin Jr.,-0.15979994929811972,3222
DaQuan Jeffries,-0.1606314374902939,3474
Franz Wagner,-0.16600810933233034,25354
Taylor Hendricks,-0.17129426245031454,3069
Daishen Nix,-0.17401577875339974,3634
Pat Connaughton,-0.17886139225229936,13615
Stephon Castle,-0.18672830887897646,7506
Anthony Lamb,-0.18740828712099433,4539
Norman Powell,-0.18765094136411684,19654
Bub Carrington,-0.18847344677028097,8841
Derrick Jones Jr.,-0.19639420504520091,16105
Vít Krejčí,-0.19683418968743885,5681
Alex Len,-0.20021515326455533,3178
Sam Hauser,-0.20230425864972154,15580
Kevin Huerter,-0.203988131343453,20046
MarJon Beauchamp,-0.20652053059911693,5551
Trey Murphy III,-0.20980939158074746,21651
Kentavious Caldwell-Pope,-0.20985460545737106,25637
Gui Santos,-0.2147807022010994,3212
Robert Williams III,-0.21906375283129806,4509
Cedi Osman,-0.22114352251901692,10727
Patrick Williams,-0.22163696609890704,18751
Tidjane Salaün,-0.22485573420646143,3874
Dalano Banton,-0.23044373279475908,7556
Rudy Gay,-0.2318501038774351,3416
Josh Giddey,-0.23340558731737784,23973
Darius Garland,-0.23347849950024477,23348
Bismack Biyombo,-0.23380638100570117,7159
Aaron Holiday,-0.2368394511237847,10664
Jae Crowder,-0.24476441608906843,5340
Kenrich Williams,-0.24591357314618534,12127
Wesley Matthews,-0.24645467745496707,4335
Marvin Bagley III,-0.2489709220092877,8305
Ja'Kobe Walter,-0.2496878893459006,3909
Tyrese Martin,-0.2579418209238407,4869
Brice Sensabaugh,-0.25813889095514614,6566
Victor Wembanyama,-0.26029100929499854,13920
Nickeil Alexander-Walker,-0.27270784871373516,17474
Ausar Thompson,-0.27307188107741587,11162
Tre Mann,-0.275316187581318,8556
Marcus Smart,-0.2805441187694008,12307
Jaxson Hayes,-0.28480665912144315,9300
Justise Winslow,-0.2875147126590004,3111
Corey Kispert,-0.2895662747879318,21346
Jabari Walker,-0.2896180697470925,10015
Cory Joseph,-0.2949054460972599,6996
Kawhi Leonard,-0.2964327508083866,18978
Julian Strawther,-0.3053172363408203,7621
De'Aaron Fox,-0.31276133414696144,27657
Kris Dunn,-0.3137580644894335,12292
Al Horford,-0.31424615790355026,19444
Keon Ellis,-0.3142754680711947,9673
Klay Thompson,-0.32077915576902233,24330
Dalen Terry,-0.3248205153903993,6311
Jaylen Nowell,-0.3259785953783329,6442
Cade Cunningham,-0.32779462236731177,19416
Danuel House Jr.,-0.32887404441701723,4761
Domantas Sabonis,-0.3332923349909829,28779
Desmond Bane,-0.3339550409602418,20359
Jusuf Nurkić,-0.33919271219085,16630
Drew Eubanks,-0.34491104942732265,12412
Dominick Barlow,-0.3464274604347785,3846
Gabe Vincent,-0.3489574515112747,12197
Buddy Hield,-0.3518775050314705,24510
Jaden Hardy,-0.3527609351535444,8927
Jordan Nwora,-0.35282244125292467,6182
Christian Koloko,-0.35729839027091315,4052
John Wall,-0.359758359796451,3137
Charles Bassey,-0.36584268483368737,4519
Christian Wood,-0.36672388870869427,9501
Patty Mills,-0.3687217537212389,4940
Trendon Watford,-0.3692488661644904,9492
Cam Whitmore,-0.374965566479971,5571
Damion Lee,-0.37639698096624996,6301
Draymond Green,-0.37857140456676286,20948
Jonathan Mogbo,-0.3841233204111527,4054
Orlando Robinson,-0.38562372382050064,5259
Mitchell Robinson,-0.3917464001060209,8768
Moussa Diabaté,-0.3921374823946441,5285
Nassir Little,-0.39349608061226105,5244
Cam Thomas,-0.3979109850918101,13640
Olivier-Maxence Prosper,-0.4014872040247704,3492
Jonathan Isaac,-0.4116349223752428,7382
Oso Ighodaro,-0.4119652138864204,3284
De'Anthony Melton,-0.415488294011314,12375
Victor Oladipo,-0.4160508098305986,4006
Ryan Rollins,-0.4311647798691353,3163
Jordan McLaughlin,-0.4330964922326226,5211
LeBron James,-0.43342364619231377,24795
Matt Ryan,-0.43375848677933965,3110
Julius Randle,-0.4380768208759986,24888
Dwight Powell,-0.4405931156970487,10227
Ty Jerome,-0.44572471077579084,8569
Myles Turner,-0.4505907623851854,23506
Aaron Nesmith,-0.45371211144820905,17647
Devin Vassell,-0.4574057726621559,21352
Kris Murray,-0.4656263628243467,7743
Tristan Thompson,-0.4703956718749489,3003
CJ McCollum,-0.4817061104924595,24086
Johnny Juzang,-0.48420446820451746,5462
Ousmane Dieng,-0.5012930151253844,4917
Jaylin Williams,-0.5104457294009147,8888
Brandon Ingram,-0.5115873141007813,15581
Troy Brown Jr.,-0.5117706822751328,9322
Jock Landale,-0.5127546456950355,7417
Paul George,-0.5251369655584048,22083
Mike Muscala,-0.5279912038208379,5646
Garrison Mathews,-0.5307613009029639,9120
Vlatko Čančar,-0.5372062094671815,3657
Andrew Wiggins,-0.5464888819614889,19072
Danté Exum,-0.5477369510923261,5131
Giannis Antetokounmpo,-0.5536871067877346,26126
Chimezie Metu,-0.5560731854624485,5053
Gary Payton II,-0.5571956090529211,6777
Goga Bitadze,-0.5585336008571729,9930
Bobby Portis,-0.5628236584887688,18556
Caleb Martin,-0.5693595387907144,17369
Austin Reaves,-0.5721847118894224,24780
Nicolas Batum,-0.5728295192958344,16277
Dean Wade,-0.5741295548654098,11963
Dennis Smith Jr.,-0.5758701420192857,9638
Bam Adebayo,-0.5879376852131403,27514
Donovan Mitchell,-0.5946971905253274,23824
Jonathan Kuminga,-0.5973429400290986,16675
Aaron Wiggins,-0.6028361422661491,15178
Tyrese Maxey,-0.6215016725237351,24522
Alperen Sengun,-0.621902283060102,24518
Naji Marshall,-0.630077429151467,18333
Malik Monk,-0.6406502262116329,21597
Alex Caruso,-0.6498058516761994,16778
Robert Covington,-0.6656851885464643,4625
Jake LaRavia,-0.6696934010313176,9419
Jaren Jackson Jr.,-0.6773836161798761,22721
Duncan Robinson,-0.6788127924547243,15971
Donte DiVincenzo,-0.6871462823523884,20765
Kristaps Porziņģis,-0.6895816093738454,18749
Bennedict Mathurin,-0.691910817355082,22743
Richaun Holmes,-0.6941707553639126,5589
Jalen Smith,-0.6980543385334887,12264
James Harden,-0.7030732569883845,26558
Mo Bamba,-0.7039084878521227,7351
Cason Wallace,-0.7101829764345836,13063
Brandon Clarke,-0.7150103133649313,9642
Precious Achiuwa,-0.7196411624638794,13619
Dorian Finney-Smith,-0.7258661532445037,20303
Jalen Wilson,-0.7398564947883008,9201
Dyson Daniels,-0.7416087970884703,17962
JT Thor,-0.7759075373637543,6186
Mike Conley,-0.7866964399026509,20730
Evan Mobley,-0.7870482560536011,22323
Payton Pritchard,-0.7985398292264965,16313
Day'Ron Sharpe,-0.8014687724407399,8714
RJ Barrett,-0.8022165487461016,22892
Tim Hardaway Jr.,-0.80620973754055,23313
Larry Nance Jr.,-0.844735291921855,11096
Dalton Knecht,-0.852002685377018,5563
Obi Toppin,-0.8996507270244165,15895
Ben Sheppard,-0.9034288290936722,7502
Onyeka Okongwu,-0.9119977995739027,20084
Jabari Smith Jr.,-0.9318562240393975,23447
Luka Dončić,-0.937460276417356,24100
Naz Reid,-0.9654159438247379,19671
Jalen Williams,-0.9715003571371621,25268
Chet Holmgren,-0.9736572143134069,11959
Michael Porter Jr.,-0.9874732804314637,25440
Rudy Gobert,-0.9965760363272986,24535
Joel Embiid,-1.0043663786682178,15361
Grayson Allen,-1.0247536008682068,22005
Jayson Tatum,-1.0289040245505536,29514
Jrue Holiday,-1.108230570114671,23388
Luke Kornet,-1.1383115922379992,10698
Moritz Wagner,-1.18318815278958,11532
OG Anunoby,-1.200735038621628,23678
Zion Williamson,-1.2404389758713794,15453
Brook Lopez,-1.2536188813298155,27522
Aaron Gordon,-1.2690450676688048,20797
Xavier Tillman,-1.2824433018718526,8320
Peyton Watson,-1.2990146894608283,11340
Tyus Jones,-1.3329414825022567,23344
Jevon Carter,-1.333135157023113,11348
Jarrett Allen,-1.5812579448964217,24792
Jamal Murray,-1.9830048508732872,23980
Derrick White,-2.0317865414836342,26327
